Date,Previous_Close,Close,Percent_Change
2025-04-09,172.4199981689453,198.85000610351562,15.328852926139657
2022-11-10,134.8699951171875,146.8699951171875,8.89745713238388
2022-10-28,144.8000030517578,155.74000549316406,7.555250145606562
2024-06-11,193.1199951171875,207.14999389648438,7.264912559045644
2022-01-28,159.22000122070312,170.3300018310547,6.977766942076213
2025-05-12,198.52999877929688,210.7899932861328,6.175386381009962
2024-05-03,173.02999877929688,183.3800048828125,5.981625253732603
2021-03-01,121.26000213623047,127.79000091552734,5.385121774911972
2025-08-06,202.9199981689453,213.25,5.090677076812433
2022-11-30,141.1699981689453,148.02999877929688,4.859389884061516
2023-05-05,165.7899932861328,173.57000732421875,4.692692172716728
2022-04-28,156.57000732421875,163.63999938964844,4.515546870218534
2024-04-11,167.77999877929688,175.0399932861328,4.327091762818491
2025-09-22,245.5,256.0799865722656,4.309566831880085
2025-08-08,220.02999877929688,229.35000610351562,4.235789381413979
2022-05-04,159.47999572753906,166.02000427246094,4.10083315784322
2022-05-27,143.77999877929688,149.63999938964844,4.075671623385313
2021-03-09,116.36000061035156,121.08999633789062,4.064967087253768
2025-04-11,190.4199981689453,198.14999389648438,4.05944533235465
2022-05-23,137.58999633789062,143.11000061035156,4.011922682885327
