Date,Previous_Close,Close,Percent_Change,Move_Type
2022-02-04,138.8455047607422,157.63949584960938,13.535901735711864,Positive
2022-11-10,86.13999938964844,96.62999725341797,12.177847617944293,Positive
2025-04-09,170.66000366210938,191.10000610351562,11.977031526306249,Positive
2022-07-29,122.27999877929688,134.9499969482422,10.36146409505072,Positive
2025-10-31,222.86000061035156,244.22000122070312,9.584492754129247,Positive
2023-08-04,128.91000366210938,139.57000732421875,8.269337801006271,Positive
2025-05-12,193.05999755859375,208.63999938964844,8.070031092964335,Positive
2024-02-02,159.27999877929688,171.80999755859375,7.866649218561839,Positive
2023-02-02,105.1500015258789,112.91000366210938,7.379935352944922,Positive
2023-10-27,119.56999969482422,127.73999786376953,6.832816082460003,Positive
2022-10-17,106.9000015258789,113.79000091552734,6.4452752958852555,Positive
2024-11-01,186.39999389648438,197.92999267578125,6.185621865256041,Positive
2023-01-11,89.87000274658203,95.08999633789062,5.8083825879343465,Positive
2022-05-13,106.93049621582031,113.05500030517578,5.727556035084924,Positive
2022-03-10,139.2790069580078,146.8175048828125,5.412515560997311,Positive
2022-07-27,114.80999755859375,120.97000122070312,5.36538959419941,Positive
2022-06-15,102.30999755859375,107.66999816894531,5.238980293477025,Positive
2021-07-06,175.5489959716797,183.78700256347656,4.692710742205475,Positive
2023-04-13,97.83000183105469,102.4000015258789,4.6713683014299345,Positive
2022-04-28,138.16700744628906,144.59649658203125,4.653418536434306,Positive
2022-04-29,144.59649658203125,124.28150177001953,-14.049437774923401,Negative
2025-04-03,196.00999450683594,178.41000366210938,-8.979129298487255,Negative
2024-08-02,184.07000732421875,167.89999389648438,-8.78470841762542,Negative
2023-02-03,112.91000366210938,103.38999938964844,-8.431497620839846,Negative
2025-08-01,234.11000061035156,214.75,-8.269617085933035,Negative
2022-02-03,150.6125030517578,138.8455047607422,-7.812763251781229,Negative
2021-07-30,179.99600219726562,166.37950134277344,-7.5648907132777605,Negative
2022-05-05,125.92849731445312,116.40699768066406,-7.561036490424522,Negative
2022-05-18,115.36849975585938,107.11250305175781,-7.156196640827217,Negative
2022-09-13,136.4499969482422,126.81999969482422,-7.05752837581286,Negative
2022-10-28,110.95999908447266,103.41000366210938,-6.804249715805744,Negative
2022-01-21,151.66749572753906,142.64300537109375,-5.950180896147472,Negative
2022-03-07,145.64100646972656,137.4530029296875,-5.622045424233624,Negative
2022-06-10,116.1500015258789,109.6500015258789,-5.5962117215743294,Negative
2023-10-25,128.55999755859375,121.38999938964844,-5.577161096069128,Negative
2022-11-01,102.44000244140625,96.79000091552734,-5.515425020719422,Negative
2022-06-13,109.6500015258789,103.66999816894531,-5.453719355874542,Negative
2022-07-26,121.13999938964844,114.80999755859375,-5.2253606265046715,Negative
2022-05-09,114.77249908447266,108.78900146484375,-5.213354825727934,Negative
2025-04-10,191.10000610351562,181.22000122070312,-5.170070417193329,Negative
