Date,Previous_Close,Close,Percent_Change,Move_Type
2024-04-26,156.0,171.9499969482422,10.224357018103959,Positive
2025-04-09,144.6999969482422,158.7100067138672,9.682107851485465,Positive
2025-09-03,211.35000610351562,230.66000366210938,9.136502011329984,Positive
2022-07-27,105.0199966430664,113.05999755859375,7.655685747975283,Positive
2022-11-10,87.31999969482422,93.94000244140625,7.5813132956005,Positive
2022-02-02,137.6439971923828,148.0,7.523759131422758,Positive
2021-02-03,95.95600128173828,102.94400024414062,7.282503302617571,Positive
2023-02-02,100.43000030517578,107.73999786376953,7.278699130121402,Positive
2025-11-24,299.6600036621094,318.5799865722656,6.313816551737772,Positive
2022-11-30,95.19000244140625,100.98999786376953,6.093072038666492,Positive
2023-07-26,122.20999908447266,129.27000427246094,5.7769456189164625,Positive
2024-12-10,175.3699951171875,185.1699981689453,5.588186876101098,Positive
2024-12-11,185.1699981689453,195.39999389648438,5.524650768860195,Positive
2021-01-20,89.22350311279297,94.00350189208984,5.357331434581969,Positive
2023-01-20,93.05000305175781,98.0199966430664,5.341207338321197,Positive
2023-12-07,130.02000427246094,136.92999267578125,5.314557895906713,Positive
2022-06-24,112.24199676513672,117.9749984741211,5.107715359858145,Positive
2022-03-09,127.10449981689453,133.4199981689453,4.968744899786248,Positive
2021-10-27,139.30850219726562,146.21749877929688,4.959493837818929,Positive
2023-07-13,118.93000030517578,124.54000091552734,4.717060956828578,Positive
2023-10-25,138.80999755859375,125.61000061035156,-9.509399308699129,Negative
2022-10-26,104.4800033569336,94.93000030517578,-9.14050798709517,Negative
2023-02-08,107.63999938964844,99.37000274658203,-7.68301439052379,Negative
2024-01-31,151.4600067138672,140.10000610351562,-7.500330190670379,Negative
2025-02-05,206.3800048828125,191.3300018310547,-7.292374598161078,Negative
2025-05-07,163.22999572753906,151.3800048828125,-7.259689490224808,Negative
2022-09-13,110.86000061035156,104.31999969482422,-5.899333284792229,Negative
2022-07-22,114.33999633789062,107.9000015258789,-5.632320288852066,Negative
2022-08-26,116.6500015258789,110.33999633789062,-5.409348568751115,Negative
2024-07-24,181.7899932861328,172.6300048828125,-5.038774817986114,Negative
2022-05-24,111.48799896240234,105.97000122070312,-4.949409616330169,Negative
2025-03-28,162.24000549316406,154.3300018310547,-4.875495188788481,Negative
2024-11-21,175.97999572753906,167.6300048828125,-4.7448522829006246,Negative
2022-05-05,122.26100158691406,116.50550079345703,-4.7075524646062235,Negative
2021-01-27,95.39749908447266,90.9469985961914,-4.665217150336842,Negative
2025-03-10,173.86000061035156,165.8699951171875,-4.595654817160022,Negative
2022-01-05,144.39950561523438,137.77499389648438,-4.587627700334107,Negative
2024-08-05,166.66000366210938,159.25,-4.446179946769114,Negative
2024-02-26,143.9600067138672,137.57000732421875,-4.438732350401386,Negative
2022-12-15,95.06999969482422,90.86000061035156,-4.428315028912166,Negative
