Date,Previous_Close,Close,Percent_Change
2025-04-09,354.55999755859375,390.489990234375,10.133684827162014
2022-11-10,224.50999450683594,242.97999572753906,8.226805787098602
2025-05-01,395.260009765625,425.3999938964844,7.6253563189282225
2023-04-26,275.4200134277344,295.3699951171875,7.24347567962329
2022-07-27,251.89999389648438,268.739990234375,6.685191244907629
2022-11-30,240.3300018310547,255.13999938964844,6.162359025405717
2022-02-24,280.2699890136719,294.5899963378906,5.109361646109112
2022-04-27,270.2200012207031,283.2200012207031,4.8108948047047795
2023-02-02,252.75,264.6000061035156,4.688429714546238
2022-03-09,275.8500061035156,288.5,4.5858233157831885
2021-10-27,310.1099853515625,323.1700134277344,4.211418107471165
2023-02-07,256.7699890136719,267.55999755859375,4.202207815005732
2025-01-22,428.5,446.20001220703125,4.13069129685677
2023-03-16,265.44000244140625,276.20001220703125,4.0536504169149
2022-10-28,226.75,235.8699951171875,4.022048563257985
2023-07-18,345.7300109863281,359.489990234375,3.9799782520444804
2025-07-31,513.239990234375,533.5,3.947472946598163
2022-10-17,228.55999755859375,237.52999877929688,3.924571804566801
2022-03-15,276.44000244140625,287.1499938964844,3.8742553033178417
2023-05-25,313.8500061035156,325.9200134277344,3.8457884624790273
