Date,Previous_Close,Close,Percent_Change,Move_Type
2025-04-09,595.3699951171875,687.260009765625,15.434102390455639,Positive
2022-11-10,489.4599914550781,560.7899780273438,14.57320063284726,Positive
2024-06-05,950.8099975585938,1041.3399658203125,9.521352162279918,Positive
2022-03-16,596.7000122070312,650.6300048828125,9.03804115510387,Positive
2024-07-31,860.239990234375,936.7000122070312,8.888219896848138,Positive
2024-01-24,778.3900146484375,847.3099975585938,8.854170995665234,Positive
2022-03-09,573.0399780273438,621.3400268554688,8.428739822724939,Positive
2022-10-04,431.67999267578125,465.1099853515625,7.7441607771915555,Positive
2025-01-06,714.3599853515625,768.510009765625,7.580215231038356,Positive
2021-03-09,502.19000244140625,539.52001953125,7.433444893041119,Positive
2021-03-26,584.0,625.6699829101562,7.135271046259639,Positive
2025-09-15,813.8699951171875,867.2999877929688,6.564929656620144,Positive
2021-12-07,756.3900146484375,806.010009765625,6.560107108268798,Positive
2022-11-04,439.9200134277344,468.760009765625,6.555736374250709,Positive
2024-09-11,751.3800048828125,800.1400146484375,6.489394108009261,Positive
2025-09-18,872.27001953125,927.7999877929688,6.366144315215605,Positive
2022-10-19,398.989990234375,424.0199890136719,6.273340031561636,Positive
2023-05-25,666.7899780273438,708.47998046875,6.252343888662448,Positive
2021-04-21,616.9400024414062,655.489990234375,6.248579706359703,Positive
2025-05-12,706.2100219726562,750.2000122070312,6.229023784100063,Positive
2024-10-15,872.27001953125,730.4299926757812,-16.261022811685343,Negative
2024-07-17,1068.18994140625,932.0599975585938,-12.743982935136422,Negative
2024-08-02,883.7100219726562,809.3499755859375,-8.414530166889922,Negative
2025-07-16,823.02001953125,754.4500122070312,-8.331511469584019,Negative
2022-06-16,505.3299865722656,468.1499938964844,-7.357567067804371,Negative
2024-04-17,976.9199829101562,907.6099853515625,-7.094746629312009,Negative
2025-04-16,683.1599731445312,634.9299926757812,-7.059836987631352,Negative
2022-05-09,551.0,512.6599731445312,-6.958262587199416,Negative
2025-04-03,669.010009765625,623.219970703125,-6.844447526060438,Negative
2025-03-10,732.219970703125,683.1099853515625,-6.706998896029004,Negative
2022-09-13,504.92999267578125,471.1000061035156,-6.699936043210664,Negative
2021-09-28,835.3099975585938,780.1699829101562,-6.6011438639066,Negative
2025-02-27,746.9299926757812,697.7000122070312,-6.590976524103665,Negative
2022-04-26,599.8200073242188,560.4299926757812,-6.566972452978903,Negative
2022-10-14,405.3999938964844,379.1300048828125,-6.480017121159531,Negative
2024-09-03,903.8699951171875,845.3900146484375,-6.469954836941794,Negative
2024-07-24,932.8099975585938,872.75,-6.438609975856435,Negative
2024-10-16,730.4299926757812,683.52001953125,-6.42224081909426,Negative
2022-11-02,475.3800048828125,446.3299865722656,-6.110904542084827,Negative
2021-03-04,543.5999755859375,510.5,-6.089031838211467,Negative
