Date,Previous_Close,Close,Percent_Change,Move_Type
2025-04-09,354.55999755859375,390.489990234375,10.133684827162014,Positive
2022-11-10,224.50999450683594,242.97999572753906,8.226805787098602,Positive
2025-05-01,395.260009765625,425.3999938964844,7.6253563189282225,Positive
2023-04-26,275.4200134277344,295.3699951171875,7.24347567962329,Positive
2022-07-27,251.89999389648438,268.739990234375,6.685191244907629,Positive
2022-11-30,240.3300018310547,255.13999938964844,6.162359025405717,Positive
2022-02-24,280.2699890136719,294.5899963378906,5.109361646109112,Positive
2022-04-27,270.2200012207031,283.2200012207031,4.8108948047047795,Positive
2023-02-02,252.75,264.6000061035156,4.688429714546238,Positive
2022-03-09,275.8500061035156,288.5,4.5858233157831885,Positive
2021-10-27,310.1099853515625,323.1700134277344,4.211418107471165,Positive
2023-02-07,256.7699890136719,267.55999755859375,4.202207815005732,Positive
2025-01-22,428.5,446.20001220703125,4.13069129685677,Positive
2023-03-16,265.44000244140625,276.20001220703125,4.0536504169149,Positive
2022-10-28,226.75,235.8699951171875,4.022048563257985,Positive
2023-07-18,345.7300109863281,359.489990234375,3.9799782520444804,Positive
2025-07-31,513.239990234375,533.5,3.947472946598163,Positive
2022-10-17,228.55999755859375,237.52999877929688,3.924571804566801,Positive
2022-03-15,276.44000244140625,287.1499938964844,3.8742553033178417,Positive
2023-05-25,313.8500061035156,325.9200134277344,3.8457884624790273,Positive
2022-10-26,250.66000366210938,231.32000732421875,-7.715629161148907,Negative
2025-01-30,442.3299865722656,414.989990234375,-6.18090501839037,Negative
2024-10-31,432.5299987792969,406.3500061035156,-6.052757669911324,Negative
2022-09-13,266.6499938964844,251.99000549316406,-5.49783939204268,Negative
2022-10-07,246.7899932861328,234.24000549316406,-5.085290382263619,Negative
2022-05-18,266.82000732421875,254.0800018310547,-4.7747564438387124,Negative
2022-06-10,264.7900085449219,252.99000549316406,-4.456362653787949,Negative
2023-01-04,239.5800018310547,229.10000610351562,-4.374319912948854,Negative
2022-05-05,289.9800109863281,277.3500061035156,-4.355474310057872,Negative
2022-06-13,252.99000549316406,242.25999450683594,-4.241278609173382,Negative
2022-01-13,318.2699890136719,304.79998779296875,-4.232256161646609,Negative
2022-04-29,289.6300048828125,277.5199890136719,-4.1812021078549755,Negative
2022-07-12,264.510009765625,253.6699981689453,-4.098147970386723,Negative
2022-04-11,296.9700012207031,285.260009765625,-3.9431563480970766,Negative
2022-02-03,313.4599914550781,301.25,-3.8952312218217933,Negative
2022-08-26,278.8500061035156,268.0899963378906,-3.8587088148137383,Negative
2022-01-05,329.010009765625,316.3800048828125,-3.838790464706432,Negative
2022-03-07,289.8599853515625,278.9100036621094,-3.777679653220234,Negative
2023-07-26,350.9800109863281,337.7699890136719,-3.7637533646241783,Negative
2024-12-18,454.4599914550781,437.3900146484375,-3.7561011150808676,Negative
