Date,Previous_Close,Close,Percent_Change
2023-02-02,153.1199951171875,188.77000427246094,23.282399616058868
2024-02-02,394.7799987792969,474.989990234375,20.317643169131227
2022-04-28,174.9499969482422,205.72999572753906,17.593597780057646
2025-04-09,510.45001220703125,585.77001953125,14.755608879027715
2023-04-27,209.39999389648438,238.55999755859375,13.925503587418664
2025-07-31,695.2100219726562,773.4400024414062,11.252711841922626
2022-11-10,101.47000122070312,111.87000274658203,10.249336159224342
2025-05-12,592.489990234375,639.4299926757812,7.922497124860772
2022-11-30,109.45999908447266,118.0999984741211,7.893293862519379
2021-04-29,307.1000061035156,329.510009765625,7.297298344746861
2023-03-14,180.89999389648438,194.02000427246094,7.252631740542892
2022-06-24,158.75,170.16000366210938,7.187403881643695
2022-07-27,159.14999389648438,169.5800018310547,6.5535710553368265
2022-11-07,90.79000091552734,96.72000122070312,6.53155660907323
2023-03-03,174.52999877929688,185.25,6.142211250605212
2022-03-16,192.02999877929688,203.6300048828125,6.040726020546239
2022-10-25,129.72000122070312,137.50999450683594,6.0052368276493295
2024-07-05,509.9599914550781,539.9099731445312,5.87300615563906
2022-08-10,168.52999877929688,178.33999633789062,5.820920684536834
2022-10-17,126.76000213623047,134.0399932861328,5.743129557601656
